Epoch,Train Loss,Test Loss
1,1.144537549008682,1.1374604974474225
2,1.1154427415151607,1.1067976446378798
3,1.0932890349162172,1.0944942616281055
4,1.0846735088904105,1.0916374274662564
5,1.0789893411394118,1.0891815492085049
6,1.0735739645734033,1.087405826931908
7,1.068943116682698,1.0835459675107684
8,1.0645950144612037,1.0791314670017786
9,1.060189142743704,1.0796671237264361
10,1.0553260715310575,1.080804321311769
